,tweets,id,likes,time
51, Americans will remember this entire administration gave us:Raging inflationOpen bordersHuman traffickingDrug traffickingCorruptionHunter Biden laptopAfghanistan debacle$5+/gal gasMandates mandates mandatesGovt over parents Division NOT unityAnd now a RECESSION,1551913173636218880,0,2022-07-26 12:51:48+00:00
41,the Us economy will fall into a recession sooner or later .it just is at the end of the day 'inevitable'...    ,1551914346737012746,0,2022-07-26 12:56:28+00:00
50,Biden administration redefines 'recession' ahead of possibly damaging GDP report ,1551913319153500160,0,2022-07-26 12:52:23+00:00
31,"While the US and Europe are likely to see recession, India is the only country in the world that has no probability of recession, writes Bloomberg. Those who criticise our Economy and policy need to open their eyes.     ",1551914948367826945,0,2022-07-26 12:58:51+00:00
44, They won’t send us into one so long as the definition of a recession has been changed,1551913878392643584,0,2022-07-26 12:54:36+00:00
45, US and EU in recession. China will go down despite everything else.,1551913779058950145,0,2022-07-26 12:54:12+00:00
46," No, he won't still be potus either, VP Harris will. She'll surely tank the US even further than Biden. They keep changing the definition of words like equity, recession while dooming our trust in actual science, Dr's, &amp; govt.",1551913668908138496,0,2022-07-26 12:53:46+00:00
47," Over last 20 yrs we’ve had lower taxes, that’s led to periods of both strong growth &amp; recession but regardless the national debt as a share of GDP has more than trebled. The idea from Truss that we can tax cut our way into prosperity is not what experience tells us",1551913463752134658,0,2022-07-26 12:52:57+00:00
0, BREAKING: Biden confirms the US is entering a recession. 🙃,1551916819384090625,0,2022-07-26 13:06:17+00:00
29,"LIVE: How will the risk of recession impact M&amp;A trends?Join us now as our expert panel from , ,  and  discuss how prepared dealmakers are for global economic volatility. Details:   ",1551914968433442816,0,2022-07-26 12:58:56+00:00
1,"Rishi’s plan will lead to a recession which is inevitable regardless of the next PM, Liz Truss’ plan will lead us to a depression and years of stagflation. I hope this party doesn’t sell the UK short based on comforting stories when the evidence is clear…",1551916676366704642,0,2022-07-26 13:05:43+00:00
28," Like the 6 months it took u to call this a bear market, the us has been in recession all of 2022. Lagging indicator. Bottoms in. Next month it’s all up",1551915119386546178,0,2022-07-26 12:59:32+00:00
2,  “once the looming recession begins next year”This is why the Fed is going to over-correct because the very serious people on Twitter continue to believe that the US isn’t already in recession.,1551916674307301376,0,2022-07-26 13:05:43+00:00
3,"IMF on a US recession: ""For the United States, some indicators, such as the Federal Reserve Bank of Atlanta’s GDPNow forecasting model, suggest that a technical recession (defined as two consecutive quarters of negative growth) may already have started.""",1551916537468133376,0,2022-07-26 13:05:10+00:00
4,"My leading barometer of the US business cycle fell for a fifth month in July (2.2% after a 0.9% decline in June), and indicates a high probability of recession starting this year. July’s decline leads to a cumulative decline of 4.7%, well above a threshold for a recession call. ",1551916270324486147,0,2022-07-26 13:04:06+00:00
5,"The Biden administration is ramping up messaging that two quarters of negative growth do not mean a recession, bracing Americans for a likely tough economic report on Thursday.",1551916240700116992,0,2022-07-26 13:03:59+00:00
6," Actually, the definition of recession is what your orange daddy left us in when he slithered out of office.",1551916221301329920,0,2022-07-26 13:03:55+00:00
7,"My best guess is the powers that be will contort themselves to gaslight us into saying that the recession we are now in is not really a recession. Later on, it will be ""revised"" and in hindsight will be considered a recession. Probably by about November 10. ",1551916212359233537,0,2022-07-26 13:03:52+00:00
8,"Check out the glimpse of our webinar ‘How to Scale up your design team using BIM Automation’.Would you like to know the possible solutions to the current recession challenge in AEC, Click here      ",1551916186174009344,0,2022-07-26 13:03:46+00:00
9,US Treasury Secretary Yellen Says Signs of US Recession Aren’t in Sight for Now (As Yield Curve And Atlanta Fed GDPNow Tracker SCREAM Recession) ,1551916143811575808,0,2022-07-26 13:03:36+00:00
10,"Deeper US recession spells big trouble for India, says Swaminathan Aiyar [Automated tweet]  ",1551916126455595010,0,2022-07-26 13:03:32+00:00
11,Here's the doctor I know &amp; love... unapologetically apolitical. Calls it as he sees it. Biden's economy SUCKS. Economist Nouriel Roubini said the US is facing a deep recession as interest rates rise and the economy is burdened by high debt loads ,1551916100308258821,0,2022-07-26 13:03:26+00:00
12,"Check out the glimpse of our webinar ‘How to Scale up your design team using BIM Automation’.Would you like to know the possible solutions to the current recession challenge in AEC, Click here      ",1551916094868590593,0,2022-07-26 13:03:24+00:00
13,"Check out the glimpse of our webinar ‘How to Scale up your design team using BIM Automation’.Would you like to know the possible solutions to the current recession challenge in AEC, Click here      ",1551916073590886407,0,2022-07-26 13:03:19+00:00
14,"US Q2 result GE Beat , UPS Beat , GM Ok , now on to Coca Cola, Google and MSFT. Result heavy day in USA. Commentary cautious but UPS , GE and GM reconfirming the guidance for the year no down grades.  ",1551916045090242560,0,2022-07-26 13:03:13+00:00
15,"  Wrong and fear mongering. You are a dog shit politician and even worse economist. Inflation needs a recession at this point to be controlled. The US is not the only one raising interest rates. Your WSJ buddies are clearly biased, politically motivated and have you in their pocket",1551916043060363267,0,2022-07-26 13:03:12+00:00
16,"After two years of deadly Corona and on going war between Russia and rest of Europe, MAJOR Economies across the globe may find themselves in deep recession in coming one or two years. Recession Probabilities:Italy - 65%France - 50%Germany - 45%UK - 45%US - 40%Japan - 25% n",1551916041965412353,0,2022-07-26 13:03:12+00:00
17," Unfortunately for America, as bad as the Biden incompetence has been the past year, he is only getting started. The US is headed for a recession and Biden is focused on changing the definition of recession.",1551915769285545985,0,2022-07-26 13:02:07+00:00
19,Hard times ahead: How Biden and the Fed are driving America into a recession This is what Amerika wanted in 2020.  Now she shall reap the rewards of her stupidity.  Enjoy Amerika.  Socialism is grand!,1551915723202641920,0,2022-07-26 13:01:56+00:00
20,"The Biden administration is actively seeking to gaslight the American public on the state of the economy. Months of sky-high inflation has the U.S. on the cusp of a recession, Ergo, the Biden administration plays the “redefinition” gambit.",1551915681104510976,0,2022-07-26 13:01:46+00:00
22,Thanks to Joe Biden and the democrats . . . . (November is coming). . . .,1551915556407754752,0,2022-07-26 13:01:16+00:00
23,"FOR RENT ‼️PRICE DOWN‼️2 Bedroom apartment (Master En-suite)Available for rent in KILELESHWA Asking rent ksh 70,000CONTACT US +254 770783784 ~24hr security~8th floor~Kids play area~Borehole ~High speed lifts ~Back up generator  nairobi ",1551915432944275456,0,2022-07-26 13:00:47+00:00
25,"Today's  Are we/Aren't we in recession, online Civil War bluster, Monkeypox, Myanmar executes protesters, Uvalde LE response alt take &amp; moreGuest:Economist Alexander SalteriTunes Spotify ",1551915241365090305,0,2022-07-26 13:00:01+00:00
26, Cost of living and essentials being bought on credit? Wow the US economy is in a state right now and Biden is trying to redefine the meaning of a recession 🤣,1551915241340026880,0,2022-07-26 13:00:01+00:00
27," There’s no recession! But there is inflation, inflation in the US hit 8.6% last month",1551915196691746816,0,2022-07-26 12:59:50+00:00
57,  Also the economy was TERRIBLE in the 1970s due to inflation and economic stagnation after the Vietnam war like the US literally entered a recession so you’re either LYING or YOU ARE WRONG and you’re actually THINKING OF THE 40S AFTER WW2 DUMMY stop doubling down on WRONG SHIT lol,1551912407815135236,0,2022-07-26 12:48:45+00:00
